Episode,Baseline,Hybrid
745,500.0,43.0
746,500.0,24.0
747,500.0,15.0
748,500.0,35.0
749,500.0,39.0
750,500.0,13.0
751,500.0,30.0
752,500.0,15.0
753,500.0,33.0
754,500.0,21.0
755,500.0,32.0
756,500.0,23.0
757,500.0,59.0
758,500.0,11.0
759,500.0,21.0
760,500.0,22.0
761,500.0,37.0
762,500.0,17.0
763,500.0,28.0
764,500.0,29.0
765,500.0,9.0
766,500.0,31.0
767,500.0,24.0
768,500.0,32.0
769,500.0,26.0
770,500.0,16.0
771,500.0,29.0
772,473.0,33.0
773,500.0,30.0
774,500.0,27.0
775,491.0,14.0
776,500.0,38.0
777,500.0,34.0
778,500.0,70.0
779,500.0,30.0
780,500.0,68.0
781,500.0,57.0
782,500.0,15.0
783,500.0,67.0
784,500.0,57.0
785,500.0,17.0
786,500.0,55.0
787,500.0,38.0
788,500.0,19.0
789,500.0,34.0
790,500.0,16.0
791,500.0,97.0
792,500.0,18.0
793,500.0,50.0
794,500.0,9.0
795,500.0,14.0
796,500.0,32.0
797,500.0,17.0
798,500.0,19.0
799,500.0,15.0
800,500.0,29.0
801,500.0,20.0
802,500.0,21.0
803,500.0,64.0
804,500.0,17.0
805,500.0,33.0
806,500.0,11.0
807,500.0,31.0
808,500.0,11.0
809,500.0,28.0
810,500.0,18.0
811,500.0,9.0
812,500.0,30.0
813,500.0,19.0
814,500.0,14.0
815,500.0,61.0
816,500.0,17.0
817,500.0,24.0
818,500.0,25.0
819,500.0,9.0
820,500.0,38.0
821,500.0,9.0
822,500.0,30.0
823,500.0,16.0
824,500.0,24.0
825,500.0,37.0
826,500.0,154.0
827,500.0,103.0
828,500.0,50.0
829,500.0,49.0
830,500.0,10.0
831,500.0,11.0
832,500.0,67.0
833,500.0,71.0
834,500.0,76.0
835,500.0,54.0
836,500.0,11.0
837,500.0,33.0
838,500.0,11.0
839,500.0,37.0
840,500.0,17.0
841,500.0,89.0
842,500.0,76.0
843,500.0,26.0
844,500.0,39.0
845,500.0,115.0
846,500.0,58.0
847,500.0,13.0
848,500.0,45.0
849,500.0,12.0
850,500.0,31.0
851,500.0,64.0
852,500.0,11.0
853,500.0,18.0
854,500.0,152.0
855,500.0,79.0
856,500.0,50.0
857,14.0,12.0
858,500.0,23.0
859,500.0,73.0
860,500.0,13.0
861,500.0,38.0
862,500.0,15.0
863,500.0,79.0
864,500.0,14.0
865,409.0,70.0
866,15.0,210.0
867,500.0,10.0
868,445.0,19.0
869,500.0,33.0
870,414.0,11.0
871,500.0,74.0
872,499.0,35.0
873,500.0,39.0
874,424.0,19.0
875,14.0,106.0
876,349.0,49.0
877,358.0,14.0
878,305.0,174.0
879,297.0,18.0
880,13.0,50.0
881,283.0,21.0
882,280.0,11.0
883,238.0,81.0
884,251.0,82.0
885,15.0,9.0
886,224.0,35.0
887,255.0,11.0
888,257.0,149.0
889,239.0,12.0
890,246.0,88.0
891,224.0,12.0
892,261.0,102.0
893,275.0,97.0
894,287.0,30.0
895,14.0,13.0
896,292.0,31.0
897,299.0,30.0
898,317.0,10.0
899,313.0,29.0
900,380.0,18.0
901,393.0,10.0
902,419.0,28.0
903,414.0,10.0
904,417.0,18.0
905,441.0,32.0
906,397.0,22.0
907,438.0,14.0
908,500.0,10.0
909,500.0,19.0
910,500.0,12.0
911,500.0,14.0
912,500.0,40.0
913,500.0,18.0
914,500.0,25.0
915,500.0,16.0
916,500.0,10.0
917,500.0,24.0
918,500.0,19.0
919,500.0,24.0
920,500.0,31.0
921,500.0,28.0
922,500.0,50.0
923,500.0,31.0
